DEBUG,2021-11-26 01:28:39,105,Logging enabled 2021-11-26 01:28:39.007538,has returned 200
DEBUG,2021-11-26 01:28:39,106,Loggy,Logging enabled 2021-11-26 01:28:39.007538,887360283071373325
DEBUG,2021-11-26 01:28:42,105,Hello Herteg,has returned 200
DEBUG,2021-11-26 01:28:42,106,Loggy,Hello Herteg,887360283071373325
DEBUG,2021-11-26 01:28:44,964,https://discord.com/api/v7/channels/887360283071373325/messages with <aiohttp.formdata.FormData object at 0x7fd78c07bd90> has returned 200
DEBUG,2021-11-26 01:28:44,964,Loggy,,887360283071373325
DEBUG,2021-11-26 01:28:56,149,Producing and consuming has started...,has returned 200
DEBUG,2021-11-26 01:28:56,149,Loggy,Producing and consuming has started...,887360283071373325
