Type: DEBUG | Timestamp: 2021-11-25 19:22:09 | Code: 474 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:22:50 | Code: 725 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:23:31 | Code: 977 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:24:13 | Code: 228 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:24:54 | Code: 480 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:25:35 | Code: 731 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:26:16 | Code: 982 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:26:58 | Code: 233 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:27:39 | Code: 486 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:28:20 | Code: 737 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:29:01 | Code: 988 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:29:43 | Code: 239 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:30:24 | Code: 490 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:31:05 | Code: 742 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:31:46 | Code: 993 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:32:28 | Code: 244 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:33:09 | Code: 496 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:33:50 | Code: 747 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:34:31 | Code: 999 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:35:13 | Code: 250 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:35:54 | Code: 503 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:36:35 | Code: 754 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:37:17 | Code: 006 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:37:58 | Code: 257 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:38:39 | Code: 508 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:39:20 | Code: 760 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:40:02 | Code: 011 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:40:43 | Code: 262 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:41:24 | Code: 513 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:42:05 | Code: 765 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:42:47 | Code: 016 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:43:28 | Code: 267 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:44:09 | Code: 522 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:44:50 | Code: 775 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:45:32 | Code: 026 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:46:13 | Code: 278 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:46:54 | Code: 529 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:47:35 | Code: 780 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:48:17 | Code: 031 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:48:58 | Code: 282 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:49:39 | Code: 534 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:50:20 | Code: 789 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:51:02 | Code: 040 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:51:43 | Code: 291 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:52:24 | Code: 544 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:53:05 | Code: 797 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:53:47 | Code: 048 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:54:28 | Code: 300 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:55:09 | Code: 551 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:55:50 | Code: 803 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:56:32 | Code: 054 | Notes: Keeping shard ID None websocket alive with sequence 39.
Type: DEBUG | Timestamp: 2021-11-25 19:57:13 | Code: 305 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 19:57:54 | Code: 557 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 19:58:35 | Code: 808 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 19:59:17 | Code: 059 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 19:59:58 | Code: 310 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:00:39 | Code: 561 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:01:20 | Code: 812 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:02:02 | Code: 065 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:02:43 | Code: 317 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:03:24 | Code: 570 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:04:05 | Code: 821 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:04:47 | Code: 073 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:05:28 | Code: 325 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:06:09 | Code: 576 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:06:50 | Code: 827 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:07:32 | Code: 079 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:08:13 | Code: 330 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:08:54 | Code: 581 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:09:35 | Code: 833 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:10:17 | Code: 085 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:10:58 | Code: 336 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:11:39 | Code: 587 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:12:20 | Code: 838 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:13:02 | Code: 089 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:13:43 | Code: 341 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:14:24 | Code: 592 | Notes: Keeping shard ID None websocket alive with sequence 40.
Type: DEBUG | Timestamp: 2021-11-25 20:15:05 | Code: 843 | Notes: Keeping shard ID None websocket alive with sequence 43.
Type: DEBUG | Timestamp: 2021-11-25 20:15:47 | Code: 098 | Notes: Keeping shard ID None websocket alive with sequence 48.
Type: DEBUG | Timestamp: 2021-11-25 20:16:28 | Code: 349 | Notes: Keeping shard ID None websocket alive with sequence 57.
Type: DEBUG | Timestamp: 2021-11-25 20:17:09 | Code: 600 | Notes: Keeping shard ID None websocket alive with sequence 66.
